"Cook Islands","98","","","","","","98","","","","","","98","","","","","","98","","","","","","98","","","","","","97","","","","","","97","","","","","","96","","","","","","96","","","","","","96","","","","","","95","","","","","","95","","","","","","94","","","","","","94","","","","","","93","","","","","","93","","","","","","93","","","","","","92","","","","",""
"Costa Rica","98","98","96","","","","98","98","95","","","","97","98","95","","","","97","98","94","","","","97","98","93","","","","96","98","93","","","","96","97","92","","","","96","97","92","","","","95","97","91","","","","95","97","91","","","","95","97","90","","","","95","97","90","","","","94","97","90","","","","94","97","90","","","","94","97","89","","","","94","97","89","","","","94","97","89","","","","93","97","89","","",""
"Côte d'Ivoire","32","46","18","","","","31","46","17","","","","31","45","16","","","","30","45","16","","","","29","44","15","","","","28","44","14","","","","28","43","13","","","","27","43","13","","","","26","42","12","","","","25","42","11","","","","25","41","11","","","","24","41","10","","","","23","40","9","","","","23","40","9","","","","22","40","8","","","","22","39","8","","","","21","39","8","","","","21","39","7","","",""
"Croatia","97","98","95","58","64","","97","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64","","96","98","95","58","64",""
"Cuba","93","92","95","44","42","","93","92","95","44","41","","92","92","93","43","40","","92","92","92","42","39","","92","92","90","41","39","","91","92","88","40","38","","91","92","87","39","37","","90","92","85","38","36","","90","92","83","38","35","","89","92","82","37","35","","89","92","80","36","34","","88","91","79","35","33","","88","91","77","35","33","","88","91","75","34","32","","87","91","75","34","32","","87","91","74","34","32","","87","91","74","34","32","","87","92","73","34","32",""
"Cyprus","99","100","98","75","86","","99","100","99","76","86","","99","100","99","76","86","","99","100","99","76","86","","99","100","99","76","86","","99","100","99","76","86","","99","100","99","76","86","","100","100","99","76","86","","100","100","99","76","86","","100","100","99","76","86","","100","100","100","76","86","","100","100","100","76","86","","100","100","100","76","86","","100","100","100","76","86","","100","100","100","76","86","","100","100","100","76","86","","100","100","100","76","86","","100","100","100","76","86",""
"Czechia","99","99","99","94","98","85","99","99","99","94","98","85","99","99","99","93","97","84","99","99","99","93","96","84","99","99","99","92","95","83","99","99","99","91","94","82","99","99","99","90","93","82","99","99","99","89","92","81","99","99","99","88","91","80","99","99","99","88","91","79","99","99","99","87","90","79","99","99","99","86","89","78","99","99","99","85","88","77","99","99","99","84","87","77","99","99","99","84","86","76","99","99","99","84","86","76","99","99","99","84","86","76","99","99","99","84","86","76"
"Democratic People's Republic of Korea","83","90","72","","","5","82","89","72","","","7","82","88","71","","","9","81","87","71","","","11","80","86","70","","","13","79","86","70","","","15","79","85","70","","","17","78","84","69","","","18","77","83","69","","","20","77","82","68","","","22","76","81","68","","","24","75","81","67","","","24","75","81","67","","","24","75","81","67","","","24","75","81","67","","","24","75","81","67","","","24","","","","","","","","","","","",""
"Democratic Republic of the Congo","20","23","18","","","","20","23","18","","","","20","23","18","","","","20","23","18","","","","20","23","19","","","","20","23","19","","","","20","23","19","","","","21","23","19","","","","21","23","19","","","","21","23","19","","","","21","23","19","","","","21","23","19","","","","21","23","19","","","","21","23","19","","","","21","23","20","","","","21","23","20","","","","21","23","20","","","","21","23","20","","",""
"Denmark","100","100","100","95","","","100","100","100","95","","","100","100","100","95","","","100","100","100","94","","","100","100","100","94","","","100","100","100","94","","","100","100","100","93","","","100","100","100","93","","","100","100","100","93","","","100","100","100","92","","","100","100","100","92","","","100","100","100","92","","","100","100","100","92","","","100","100","100","92","","","100","100","100","92","","","100","100","100","92","","","100","100","100","92","","","100","100","100","92","",""
