"China","93","98","86","","92","","92","98","85","","92","","92","98","84","","92","","91","98","83","","93","","91","98","82","","93","","90","98","81","","93","","89","98","80","","93","","88","98","79","","93","","88","98","78","","93","","87","98","77","","93","","86","98","76","","93","","85","98","75","","93","","84","98","74","","93","","84","98","73","","93","","83","98","72","","93","","82","98","71","","93","","81","98","70","","93","","80","98","70","","93",""
"Colombia","97","100","86","73","81","40","97","100","86","73","81","40","97","100","85","73","81","39","96","100","84","73","81","39","96","99","83","72","81","38","96","99","82","72","81","38","95","99","81","72","81","38","95","99","80","72","81","37","95","99","79","71","81","37","94","99","78","71","81","36","94","99","77","71","81","36","93","99","77","71","81","35","93","99","76","70","81","35","93","98","75","70","81","35","92","98","74","69","81","34","92","98","73","69","81","34","91","98","72","69","81","33","91","98","71","68","81","33"
"Comoros","80","88","77","","","","80","88","77","","","","80","88","77","","","","80","88","77","","","","81","88","78","","","","82","88","79","","","","83","88","80","","","","83","89","81","","","","84","89","82","","","","85","89","84","","","","86","89","85","","","","87","89","86","","","","88","89","87","","","","88","90","88","","","","89","90","89","","","","90","90","90","","","","91","90","91","","","","91","90","91","","",""
"Congo","73","87","46","45","59","19","72","87","44","45","59","18","71","87","41","44","58","17","70","87","39","44","58","16","69","86","37","43","58","15","68","86","35","42","58","14","67","86","33","41","57","13","66","86","31","40","55","12","65","86","29","38","53","12","64","86","27","36","52","11","63","86","26","35","50","10","62","85","24","33","48","9","61","85","22","31","46","8","60","85","20","30","44","8","58","85","18","28","42","7","58","85","18","28","42","7","57","85","18","28","42","7","57","85","18","27","42","7"
"Cook Islands","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","","","100","","","","",""
"Costa Rica","100","100","100","94","96","84","100","100","100","94","96","84","100","100","99","93","96","84","99","100","98","93","96","83","99","100","97","93","96","82","99","100","96","92","96","82","98","100","96","92","96","81","98","100","95","92","96","80","98","99","94","91","96","80","98","99","93","91","96","79","97","99","93","90","96","78","97","99","92","90","96","78","96","99","91","89","96","77","96","99","90","89","96","76","96","99","89","88","96","76","95","99","89","88","96","75","95","99","88","87","96","74","94","99","87","87","96","74"
"Côte d'Ivoire","73","88","58","37","55","18","73","88","58","36","55","18","73","88","58","36","55","17","73","88","57","36","56","17","72","88","57","36","56","17","72","89","57","36","56","17","72","89","57","36","56","17","72","89","57","35","56","17","72","89","57","35","56","17","72","89","57","35","56","17","72","90","57","35","56","17","72","90","56","35","57","17","71","90","56","35","57","16","71","90","56","34","57","16","71","90","56","34","57","16","71","90","56","34","57","16","71","91","56","34","57","16","71","91","56","34","57","16"
"Croatia","100","100","100","90","","","100","100","100","90","","","100","100","100","90","","","100","100","100","91","","","100","100","99","91","","","99","100","99","92","","","99","100","99","92","","","99","100","99","93","","","99","100","98","93","","","99","100","98","93","","","99","100","98","93","","","99","100","98","92","","","99","100","98","91","","","99","100","97","91","","","99","100","97","90","","","99","100","97","90","","","98","100","97","89","","","98","100","97","89","",""
"Cuba","95","97","90","","","","95","97","90","","","","95","97","90","","","","95","97","89","","","","95","97","88","","","","95","97","88","","","","95","97","87","","","","95","97","86","","","","94","97","86","","","","94","97","85","","","","94","97","85","","","","94","97","84","","","","94","97","83","","","","94","97","83","","","","93","97","82","","","","93","97","81","","","","93","97","81","","","","93","97","80","","",""
"Cyprus","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","100","","","100","100","100","99","","","100","100","100","99","","","100","100","100","99","","","100","100","100","98","","","100","100","100","98","","","100","100","100","97","","","100","100","100","97","","","100","100","100","96","","","100","100","100","96","","","100","100","100","95","","","100","100","100","95","","","100","100","100","95","","","100","100","100","95","",""
"Czechia","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","98","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","97","","","100","100","100","96","","","100","100","100","96","","","100","100","100","96","",""
